camera,frame,id,class_name,confidence,x_center,y_center
CAMERA_DEBUT_COULOIR_DROIT.mp4,137,42,person,0.45,377.86557,644.78955
CAMERA_DEBUT_COULOIR_DROIT.mp4,137,43,person,0.58,646.1832,904.0947
CAMERA_DEBUT_COULOIR_DROIT.mp4,137,45,person,0.32,364.21423,644.44324
CAMERA_DEBUT_COULOIR_DROIT.mp4,138,30,person,0.31,341.84784,640.3425
CAMERA_DEBUT_COULOIR_DROIT.mp4,138,42,person,0.42,377.77817,645.82605
CAMERA_DEBUT_COULOIR_DROIT.mp4,138,43,person,0.72,640.4273,903.9832
CAMERA_DEBUT_COULOIR_DROIT.mp4,138,45,person,0.31,364.0735,644.3082
CAMERA_DEBUT_COULOIR_DROIT.mp4,139,30,person,0.32,341.78125,640.70624
CAMERA_DEBUT_COULOIR_DROIT.mp4,139,42,person,0.47,378.011,646.1371
CAMERA_DEBUT_COULOIR_DROIT.mp4,139,43,person,0.79,635.0121,904.87335
CAMERA_DEBUT_COULOIR_DROIT.mp4,139,45,person,0.35,363.75537,644.3668
CAMERA_DEBUT_COULOIR_DROIT.mp4,140,30,person,0.31,343.1673,640.4796
CAMERA_DEBUT_COULOIR_DROIT.mp4,140,42,person,0.51,377.89026,646.17993
CAMERA_DEBUT_COULOIR_DROIT.mp4,140,43,person,0.76,641.39325,905.9393
CAMERA_DEBUT_COULOIR_DROIT.mp4,140,45,person,0.37,364.81494,644.58966
CAMERA_DEBUT_COULOIR_DROIT.mp4,141,30,person,0.3,343.97784,640.4165
CAMERA_DEBUT_COULOIR_DROIT.mp4,141,42,person,0.54,378.44464,646.0309
CAMERA_DEBUT_COULOIR_DROIT.mp4,141,43,person,0.75,641.65796,907.1544
CAMERA_DEBUT_COULOIR_DROIT.mp4,141,45,person,0.35,365.85986,644.8589
CAMERA_DEBUT_COULOIR_DROIT.mp4,142,30,person,0.32,345.0349,641.5127
CAMERA_DEBUT_COULOIR_DROIT.mp4,142,42,person,0.53,378.45184,645.95166
CAMERA_DEBUT_COULOIR_DROIT.mp4,142,43,person,0.61,641.7889,910.91327
CAMERA_DEBUT_COULOIR_DROIT.mp4,143,30,person,0.33,345.46454,641.82117
CAMERA_DEBUT_COULOIR_DROIT.mp4,143,42,person,0.53,378.10425,645.90857
CAMERA_DEBUT_COULOIR_DROIT.mp4,143,43,person,0.37,650.88367,912.3888
CAMERA_DEBUT_COULOIR_DROIT.mp4,144,30,person,0.36,345.6358,641.87115
CAMERA_DEBUT_COULOIR_DROIT.mp4,144,42,person,0.6,377.64,645.83105
CAMERA_DEBUT_COULOIR_DROIT.mp4,144,43,person,0.53,653.49097,915.0886
CAMERA_DEBUT_COULOIR_DROIT.mp4,144,54,person,0.41,657.24786,764.4523
CAMERA_DEBUT_COULOIR_DROIT.mp4,145,30,person,0.39,345.3664,642.09094
CAMERA_DEBUT_COULOIR_DROIT.mp4,145,42,person,0.64,377.22647,645.89954
CAMERA_DEBUT_COULOIR_DROIT.mp4,145,43,person,0.78,648.4205,916.22864
CAMERA_DEBUT_COULOIR_DROIT.mp4,146,30,person,0.38,345.1155,642.12195
CAMERA_DEBUT_COULOIR_DROIT.mp4,146,42,person,0.63,376.8266,646.5895
CAMERA_DEBUT_COULOIR_DROIT.mp4,146,43,person,0.74,645.994,919.20496
CAMERA_DEBUT_COULOIR_DROIT.mp4,147,30,person,0.34,345.21445,642.1113
CAMERA_DEBUT_COULOIR_DROIT.mp4,147,42,person,0.59,376.9832,647.2903
CAMERA_DEBUT_COULOIR_DROIT.mp4,147,43,person,0.57,644.4418,920.6376
CAMERA_DEBUT_COULOIR_DROIT.mp4,148,30,person,0.34,345.41333,642.17163
CAMERA_DEBUT_COULOIR_DROIT.mp4,148,42,person,0.56,377.0733,648.13477
CAMERA_DEBUT_COULOIR_DROIT.mp4,148,43,person,0.68,642.1758,923.0222
CAMERA_DEBUT_COULOIR_DROIT.mp4,149,30,person,0.33,345.4754,642.1727
CAMERA_DEBUT_COULOIR_DROIT.mp4,149,42,person,0.54,377.28186,648.46075
CAMERA_DEBUT_COULOIR_DROIT.mp4,149,43,person,0.85,640.2058,924.10974
CAMERA_DEBUT_COULOIR_DROIT.mp4,150,30,person,0.3,344.46252,642.19037
CAMERA_DEBUT_COULOIR_DROIT.mp4,150,42,person,0.54,376.9843,648.59753
CAMERA_DEBUT_COULOIR_DROIT.mp4,150,43,person,0.87,635.2984,924.9385
CAMERA_DEBUT_COULOIR_DROIT.mp4,150,58,person,0.36,341.04327,641.57385
CAMERA_DEBUT_COULOIR_DROIT.mp4,151,30,person,0.28,343.66302,641.41547
CAMERA_DEBUT_COULOIR_DROIT.mp4,151,42,person,0.43,375.67566,648.20105
CAMERA_DEBUT_COULOIR_DROIT.mp4,151,43,person,0.87,631.791,926.141
CAMERA_DEBUT_COULOIR_DROIT.mp4,152,30,person,0.27,342.3424,641.4324
CAMERA_DEBUT_COULOIR_DROIT.mp4,152,42,person,0.41,375.53992,647.9887
CAMERA_DEBUT_COULOIR_DROIT.mp4,152,43,person,0.89,628.63,928.0492
CAMERA_DEBUT_COULOIR_DROIT.mp4,153,42,person,0.26,375.5776,647.979
CAMERA_DEBUT_COULOIR_DROIT.mp4,153,43,person,0.89,623.67395,928.51624
CAMERA_DEBUT_COULOIR_DROIT.mp4,154,42,person,0.42,375.88416,648.1619
CAMERA_DEBUT_COULOIR_DROIT.mp4,154,43,person,0.9,615.4809,927.972
CAMERA_DEBUT_COULOIR_DROIT.mp4,155,42,person,0.46,376.06488,648.5984
CAMERA_DEBUT_COULOIR_DROIT.mp4,155,43,person,0.92,609.71216,927.66223
